course_id,title,description,credits,geneds
CMSC436,Programming Handheld Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
Fundamental principles and concepts that underlie the programming of handheld systems, such as mobile phones, personal digital assistants, and tablet computers. Particular emphasis will be placed on concepts such as limited display size, power, memory and CPU speed; and new input modalities, where handheld systems differ substantially from non-handheld systems, and thus require special programming tools and approaches. Students will apply these concepts and principles in the context of an existing handset programming platform.",3,
CMSC424,Database Design,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Students are introduced to database systems and motivates the database approach as a mechanism for modeling the real world. An in-depth coverage of the relational model, logical database design, query languages, and other database concepts including query optimization, concurrency control; transaction management, and log based crash recovery. Distributed and Web database architectures are also discussed.",3,
CMSC100,Bits and Bytes of Computer and Information Sciences,"<b>Restriction:</b> For first time freshmen and first time transfer students.
<b>Cross-listed with:</b> INST101.
<b>Credit only granted for:</b> CMSC100 or INST101.
Students are introduced to the fields (and disciplines) of computer science and information science within a small classroom setting. They will learn to make a successful transition from high school to the university, while exploring study skills, student success plans and research opportunities.",1,
CMSC858K,Advanced Topics in Theory of Computing; Introduction to Quantum Information Processing,,3,
CMSC216,Introduction to Computer Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission of CMSC - Computer Science department.
Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment.",4,
CMSC330,Organization of Programming Languages,"<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in the Computer Science Minor program; or must be in Engineering: Computer program; and Permission of CMSC - Computer Science department.
A study of programming languages, including their syntax, semantics, and implementation. Several different models of languages are discussed, including dynamic, scripting (e.g., Ruby, Python) functional (e.g., OCaml, Haskell, Scheme), and memory safe systems programming (e.g., Rust). Explores language features such as formal syntax, scoping and binding of variables, higher-order programming, typing, and type polymorphism. Introduces finite automata, context free grammar, parsing, lambda calculus, and basics of security attacks and software security.",3,
CMSC858L,,,,
CMSC417,Computer Networks,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Computer networks and architectures. The OSI model including discussion and examples of various network layers. A general introduction to existing network protocols. Communication protocol specification, analysis, and testing.",3,
CMSC198C,,,,
CMSC198D,Special Topics in Computer Science for Non-Majors; Paths to Computer Science: Connections,,1,
CMSC198E,Special Topics in Computer Science for Non-Majors; Paths to Computer Science: Problem Solving,,1,
CMSC250,Discrete Structures,"<b>Prerequisite:</b> Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permissions of CMSC - Computer Science department.
Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science. Introduction to permutations, combinations, graphs, and trees with selected applications.",4,
CMSC351,Algorithms,"<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission from the CMSC - Computer Science department.
<b>Credit only granted for:</b> CMSC251 or CMSC351.
<b>Additional information:</b> CMSC351 may not count as one of the required upper level CMSC courses for students who are required to have 24 upper level CMSC credits for graduation, i.e. for students who became computer science majors prior to Fall, 2002.
A systematic study of the complexity of some elementary algorithms related to sorting, graphs and trees, and combinatorics. Algorithms are analyzed using mathematical techniques to solve recurrences and summations.",3,
CMSC421,Introduction to Artificial Intelligence,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Introduces a range of ideas and methods in AI, varying semester to semester but chosen largely from: automated heuristic search, planning, games, knowledge representation, logical and statistical inference, learning, natural language processing, vision, robotics, cognitive modeling, and intelligent agents. Programming projects will help students obtain a hands-on feel for various topics.",3,
CMSC451,Design and Analysis of Computer Algorithms,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Fundamental techniques for designing efficient computer algorithms, proving their correctness, and analyzing their complexity. General topics include graph algorithms, basic algorithm design paradigms (such as greedy algorithms, divide-and-conquer, and dynamic programming), network flows, NP-completeness, and other selected topics in algorithms.",3,
CMSC631,Program Analysis and Understanding,"<b>Prerequisite:</b> CMSC330; or students who have taken courses with comparable content may contact the department; or permission of instructor.
Techniques for static analysis of source code and modern programming paradigms. Analysis techniques: data flow analysis, program dependence graphs, program slicing, abstract interpretation. The meaning of programs: denotational semantics, partial evaluation. Advanced treatment of abstraction mechanisms: polymorphic types, operation overloading, inheritance, object-oriented programming and ML-like programming languages.",3,
CMSC122,Introduction to Computer Programming via the Web,"<b>Restriction:</b> Must not have completed any courses from CMSC131-499 course range; and must not be concurrently enrolled in CMSC131.
<b>Credit only granted for:</b> CMSC106, or CMSC122.
Introduction to computer programming in the context of developing full featured dynamic web sites. Uses a problem solving approach to teach basics of program design and implementation using JavaScript; relates these skills to creation of dynamic web sites; then explores both the potential and limits of web-based information sources for use in research. Intended to help relate a student's major to these emerging technologies.",3,
CMSC460,Computational Methods,"<b>Prerequisite:</b> 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.  Also offered as: AMSC460.
<b>Credit only granted for:</b> AMSC460, AMSC466, CMSC460, or CMSC466.
Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.",3,
CMSC422,Introduction to Machine Learning,"<b>Prerequisite:</b> Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH461); and permission of CMNS-Computer Science department.
Machine Learning studies representations and algorithms that allow machines to improve their performance on a task from experience. This is a broad overview of existing methods for machine learning and an introduction to adaptive systems in general. Emphasis is given to practical aspects of machine learning and data mining.
<i>Credit only granted for CMSC422 or CMSC498M.</i>",3,
CMSC725,Geographical Information Systems and Spatial Databases,"<b>Prerequisite:</b> CMSC424 and CMSC420; or permission of instructor.
Topics in geographic information systems and spatial databases. Integrates related results from databases, cartography, geography, computer graphics, file access methods, computational geometry, image processing, data structures, and programming languages. Topics include: cartographic modeling, principles of cartography, methods from computational geometry, principles of spatial databases, access methods, and spatial data structures. The architecture of some existing spatial databases and geographic information systems will be examined in greater detail.",3,
CMSC423,"Bioinformatic Algorithms, Databases, and Tools","<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
An introduction to the main algorithms, databases, and tools used in bioinformatics. Topics may include assembly and analysis of genome sequences, reconstructing evolutionary histories, predicting protein structure, and clustering of biological data. Use of scripting languages to perform analysis tasks on biological data. No prior knowledge of biology is assumed.",3,
CMSC434,Introduction to Human-Computer Interaction,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Assess usability by quantitative and qualitative methods. Conduct task analyses, usability tests, expert reviews, and continuing assessments of working products by interviews, surveys, and logging. Apply design processes and guidelines to develop professional quality user interfaces. Build low-fidelity paper mockups, and a high-fidelity prototype using contemporary tools such as graphic editors and a graphical programming environment (eg: Visual Basic, Java).",3,
CMSC435,Software Engineering,"<b>Prerequisite:</b> 1 course with a minimum grade of C- from (CMSC412, CMSC417, CMSC420, CMSC430, CMSC433); and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
State-of-the-art techniques in software design and development. Laboratory experience in applying the techniques covered. Structured design, structured programming, top-down design and development, segmentation and modularization techniques, iterative enhancement, design and code inspection techniques, correctness, and chief-programmer teams. The development of a large software project.",3,
CMSC289I,Rise of the Machines: Artificial Intelligence Comes of Age,,3,
CMSC430,Introduction to Compilers,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Topics include lexical analysis, parsing, intermediate representations, program analysis, optimization, and code generation.",3,
CMSC798E,Graduate Seminar in Computer Science,,1,
CMSC714,High Performance Computing Systems,"<b>Prerequisite:</b> CMSC411 and CMSC412; or permission of instructor.
Slected topics in high-performance systems, including contemporary architectures, interconnection topologies, shared memory and message-passing systems, multi-threaded kernels, latency avoidance and hiding techniques, methods for data and workload partitioning performance profiling, debugging.",3,
CMSC733,Computer Processing of Pictorial Information,"<b>Prerequisite:</b> CMSC420.
Input, output, and storage of pictorial information. Pictures as information sources, efficient encoding, sampling, quantization, approximation. Position-invariant operations on pictures, digital and optical implementations, the pax language, applications to matched and spatial frequency filtering. Picture quality, image enhancement and image restoration. Picture properties and pictorial pattern recognition. Processing of complex pictures; figure extraction, properties of figures. Data structures for pictures description and manipulation; picture languages. Graphics systems for alphanumeric and other symbols, line drawings of two- and three-dimensional objects, cartoons and movies.",3,
CMSC838L,,,,
CMSC426,Computer Vision,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
An introduction to basic concepts and techniques in computervision. This includes low-level operations such as image filtering and edge detection, 3D reconstruction of scenes using stereo and structure from motion, and object detection, recognition and classification.",3,
CMSC456,Cryptography,"<b>Prerequisite:</b> (CMSC106, CMSC131, or ENEE150; or equivalent programming experience); and (2 courses from (CMSC330, CMSC351, ENEE324, or ENEE380); or any one of these courses and a 400-level MATH course, or two 400-level MATH courses). Or permission of instructor.  Also offered as: MATH456, ENEE456.
<b>Credit only granted for:</b> MATH456, CMSC456, or ENEE456.
The theory, application, and implementation of mathematical techniques used to secure modern communications. Topics include symmetric and public-key encryption, message integrity, hash functions, block-cipher design and analysis, number theory, and digital signatures.",3,
CMSC660,Scientific Computing I,"<b>Prerequisite:</b> Must have knowledge of C or Fortran. And CMSC466, AMSC466, AMSC460, or CMSC460; or (must have knowledge of basic numerical analysis (linear equations, nonlinear equations, integration, interpolation); and permission of instructor).  Cross-listed with AMSC66 0.
<b>Credit only granted for:</b> AMSC660 or CMSC660.
Monte Carlo simulation, numerical linear algebra, nonlinear systems and continuation method, optimization, ordinary differential equations. Fundamental techniques in scientific computation with an introduction to the theory and software for each topic.",3,
CMSC723,Computational Linguistics I,"<b>Prerequisite:</b> CMSC421 or CMSC422; or students who have taken courses with comparable content may contact the department; or permission of instructor.
<b>Cross-listed with:</b> INST735, LING723.
<b>Credit only granted for:</b> CMSC723, LING723, or INST735.
<b>Additional information:</b> CMSC students may only receive PhD Comp. credit for CMSC723 or CMSC823, not both.
Fundamental methods in natural language processing. Topics include: finite-state methods, context-free and extended context-free models of syntax; parsing and semantics interpretation; n-gram and Hidden Markov models, part-of-speech tagging; natural language applications such as machine translation, automatic summarization, and question answering.",3,
CMSC411,Computer Systems Architecture,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
<b>Credit only granted for:</b> ENEE446 or CMSC411.
Input/output processors and techniques. Intra-system communication, buses, caches. Addressing and memory hierarchies. Microprogramming, parallelism, and pipelining.",3,
CMSC420,Advanced Data Structures,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Description, properties, and storage allocation functions of data structures including balanced binary trees, B-Trees, hash tables, skiplists, tries, KD-Trees and Quadtrees. Algorithms for manipulating structures. Applications from areas such as String Processing, Computer Graphics, Information Retrieval, Computer Networks, Computer Vision, and Operating Systems.",3,
CMSC414,Computer and Network Security,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
<b>Credit only granted for:</b> CMSC414, ENEE459C, or ENEE457.
An introduction to the topic of security in the context of computer systems and networks. Identify, analyze, and solve network-related security problems in computer systems. Fundamentals of number theory, authentication, and encryption technologies, as well as the practical problems that have to be solved in order to make those technologies workable in a networked environment, particularly in the wide-area Internet environment.",3,
CMSC701,Computational Genomics,"An introduction to the algorithms and heuristics used in the analysis o biological sequences. Includes an introduction to string matching and alignment algorithms, phylogenetic analysis, string reconstruction (genome assembly), and sequence pattern recognition (gene and motif finding). A particular emphasis will be placed on the design of efficient algorithms and on techniques for analyzing the time and space complexity of these algorithms. Computational concepts will be presented in the context of current biological applications. No prior knowledge of biology necessary.",3,
CMSC858F,Advanced Topics in Theory of Computing; Algorithmic Lower Bounds: Fun with Hardness Proofs,,3,
CMSC412,Operating Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; and 1 course with a minimum grade of C- from (CMSC414, CMSC417, CMSC420, CMSC430, CMSC433, CMSC435, ENEE440, ENEE457).
<b>Restriction:</b> Permission of CMNS-Computer Science department; or must be in one of the following programs (Computer Science (Master's); Computer Science (Doctoral)).
<b>Credit only granted for:</b> CMSC412 or ENEE447.
A hands-on introduction to operating systems, including topics in: multiprogramming, communication and synchronization, memory management, IO subsystems, and resource scheduling polices. The laboratory component consists of constructing a small kernel, including functions for device IO, multi-tasking, and memory management.",4,
CMSC106,Introduction to C Programming,"<b>Prerequisite:</b> MATH115.
<b>Restriction:</b> Must not be in Computer Science program; and must not have completed any courses from CMSC131-499 course range.
<b>Credit only granted for:</b> CMSC106 or CMSC122.
Design and analysis of programs in C. An introduction to computing using structured programming concepts. Intended for students with no or minimal programming experience.",4,
CMSC131,Object-Oriented Programming I,"<b>Corequisite:</b> MATH140.
<b>Credit only granted for:</b> CMSC131 or IMDM127.
Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java.",4,
CMSC132,Object-Oriented Programming II,"<b>Prerequisite:</b> Minimum grade of C- in CMSC131; or must have earned a score of 5 on the A Java AP exam; or must have earned a satisfactory score on the departmental placement exam. And minimum grade of C- in MATH140.
Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java.",4,
CMSC818E,"Advanced Topics in Computer Systems; Clouds, Consistency, & Consensus","<i>The guiding philosophy of this course is that the best way to learn about real systems is to build them. We will cover peer-to-peer systems, microservices, multi-threading, consensus, and the protocols underlying cloud services.</i>",3,
CMSC466,Introduction to Numerical Analysis I,"<b>Prerequisite:</b> 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.  Also offered as: AMSC466.
<b>Credit only granted for:</b> AMSC460, CMSC460, AMSC466, or CMSC466.
Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.",3,
CMSC663,Advanced Scientific Computing I,"<b>Prerequisite:</b> AMSC660 or CMSC660; and (AMSC661 or CMSC661).
<b>Restriction:</b> Permission of instructor.  Cross-listed with AMSC663.
<b>Credit only granted for:</b> AMSC663 or CMSC663.
In the sequence Advanced Scientific Computing I & Advanced Scientific Computing II, (AMSC663/CMSC663 and AMSC664/CMSC664, respectively) students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on available computational environments, code development, implementation of parallel algorithms.",3,
CMSC828C,Advanced Topics in Information Processing; Statistical Pattern Recognition,,3,
CMSC878,,,,
CMSC396H,Computer Science Honors Seminar,"<b>Prerequisite:</b> Must have admission into Computer Science Departmental Honors Program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
<b>Credit only granted for:</b> CMSC297 or CMSC396.
<b>Formerly:</b> CMSC297.
Overview of computer science research activities, techniques, and tools. Diverse research areas will be covered, including systems, networks, artificial intelligence, human-computer interaction, software engineering, graphics, vision, and theory.",1,
CMSC250H,Discrete Structures,"<b>Prerequisite:</b> Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permissions of CMSC - Computer Science department.
Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science. Introduction to permutations, combinations, graphs, and trees with selected applications.
<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141; and permission of CMNS-Computer Science department.</i>",4,
CMSC666,Numerical Analysis I,"<b>Prerequisite:</b> CMSC466 or AMSC466; and MATH410.
<b>Cross-listed with:</b> AMSC666.
<b>Credit only granted for:</b> AMSC666 or CMSC666.
Approximation theory, numerical solution of initial-value problems, iterative methods for linear systems, optimization.
<i>Click here for more course information.</i>",3,
CMSC818V,,,,
CMSC433,Programming Language Technologies and Paradigms,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
Programming language technologies (e.g., object-oriented programming), their implementations and use in software design and implementation.",3,
CMSC427,Computer Graphics,"<b>Prerequisite:</b> MATH240; and minimum grade of C- in CMSC420; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
An introduction to 3D computer graphics, focusing on the underlying building blocks and algorithms for applications such as 3D computer games, and augmented and virtual reality (AR/VR). Covers the basics of 3D image generation and 3D modeling, with an emphasis on interactive applications. Discusses the representation of 3D geometry, 3D transformations, projections, rasterization, basics of color spaces, texturing and lighting models, as well as programming of modern Graphics Processing Units (GPUs). Includes programming projects where students build their own 3D rendering engine step-by-step.",3,
CMSC389B,Special Topics in Computer Science; A Tour of Programming Languages,<i>Prerequisites: Minimum grade of C- in CMSC250 and CMSC216.</i>,1,
CMSC499A,Independent Undergraduate Research,,1,
CMSC389J,Special Topics in Computer Science; Introduction to Reverse Engineering,"Students will be challenged to think outside the box in order to solve reversing challenges. Assignments will be challenges focused in the analysis of Linux binaries including various malware. The goal is to have students go from beginner to intermediate level reverse engineers. Students will be expected to have some assembly experience prior to the class (calling conventions, stack/heap, registers), but students will be taught x86_64 assembly as the semester progresses.",1,
CMSC389P,Special Topics in Computer Science; Mastering the PM Interview,<i>Prerequisites: Minimum grade of C- in CMSC250 and CMSC216.</i>,1,
CMSC389T,"Special Topics in Computer Science; Introduction to Git, Github and Project Management","<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216; and permission of CMNS-Computer Science department.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC498W,,,,
CMSC724,Database Management Systems,"<b>Restriction:</b> Must be in one of the following programs (Computer Science (Master's); Computer Science (Doctoral)) ; or permission of instructor; or permission of CMNS-Computer Science department.
Theoretical and implementation issues in advanced database systems. Topics include distributed databases, parallel databases, database client-server architectures, multimedia access methods, advanced query optimization techniques, data semantics and models, object-oriented databases, and deductive and expert database systems.",3,
CMSC818G,Advanced Topics in Computer Systems; Information-Centric Design of Systems,,3,
CMSC798F,Master's Non-Thesis Research,,1,
CMSC452,Elementary Theory of Computation,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Techniques are developed to determine the difficulty of a problem relative to a model of computation. Topics include Finite Automata, P, NP, decidability, undecidability, and communication complexity.",3,
CMSC498F,Selected Topics in Computer Science; Robotics and Perception,"An introduction to the design and programming of robotics systems. The course covers topics in the area of navigation using vision and 3D depth sensors, localization and map making, basic image processing for visual navigation and recognition, and vision and depth based grasping and manipulation. Students will be developing algorithms, and learn how to use current state-of the art vision and software tools, such as OpenCV, MoveIt and the Point Cloud Library. The software components will be developed under the Robotic Operating System (ROS).",3,
CMSC828K,Advanced Topics in Information Processing; Artificial Life and Evolutionary Computation,,3,
CMSC498R,Selected Topics in Computer Science; Introduction to Cryptology,"Prerequisites:Any two 400-level MATH courses; or (CMSC351 and CMSC330); or (ENEE322 and ENEE380).  Over the past two decades, cryptography has become a highly relevant field: In addition to military and national security applications, cryptography is currently being used in critical financial, legal, and and social applications. The aim of cryptography is to construct efficient schemes that allow parties to interact to implement some functionality, even when some subset of parties are malicious and behave adversarially. In contrast to the classical approach based on heuristics and ad-hoc solutions, modern cryptography aims for specific, rigorous security guarantees based on precise mathematical definitions and provably secure protocols.",3,
CMSC722,Artificial Intelligence Planning,"<b>Prerequisite:</b> CMSC421; or students who have taken courses with comparable content may contact the department; or permission of CMNS-Computer Science department.
Automated planning of actions to accomplish some desired goals. Basic algorithms, important systems, and new directions in the field of artificial intelligence planning systems.",3,
CMSC474,Introduction to Computational Game Theory,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Credit only granted for:</b> CMSC474, ECON414, GVPT390 or GVPT399A.
Game theory deals with interactions among agents (either human or computerized) whose objectives and preferences may differ from the objectives and preferences of the other agents. It will also provide a comprehensive introduction to game theory, concentrating on its computational aspects.",3,
CMSC425,Game Programming,"<b>Prerequisite:</b> Minimum grade of C- in CMSC420.
An introduction to the principles and practice of computer game programming and design. This includes an introduction to game hardware and systems, the principles of game design, object and terrain modeling, game physics, artificial intelligence for games, networking for games, rendering and animation, and aural rendering. Course topics are reinforced through the design and implementation of a working computer game.",3,
CMSC858X,,,,
CMSC498J,,,,
CMSC726,Machine Learning,"An introduction to modern statistical data analysis using machine learning techniques. The course quickly surveys elementary statistical models (decision trees, nearest neighbors and linear regression) and moves on to more complex algorithms such as support vector machines, boosting, neural networks, structured prediction, apprenticeship learning, online learning, bandits, recommender systems and reinforcement learning. Throughout an emphasis is placed on mathematical rigor.",3,
CMSC320,Introduction to Data Science,"<b>Prerequisite:</b> Minimum grade of C- in CMSC216 and CMSC250.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
<b>Credit only granted for:</b> STAT426 or CMSC320.
An introduction to the data science pipeline, i.e., the end-to-end process of going from unstructured, messy data to knowledge and actionable insights. Provides a broad overview of several topics including statistical data analysis, basic data mining and machine learning algorithms, large-scale data management, cloud computing, and information visualization.",3,
CMSC664,Advanced Scientific Computing II,"<b>Prerequisite:</b> AMSC663 or CMSC663.
<b>Restriction:</b> Permission of instructor.  Cross-listed with AMSC664.
<b>Credit only granted for:</b>  AMSC664 or CMSC664.
In the sequence Advanced Scientific Computing I & Advanced Scientific Computing II, (AMSC663/CMSC663 and AMSC664/CMSC664, respectively) students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on available computational environments, code development, implementation of parallel algorithms.",3,
CMSC661,Scientific Computing II,"<b>Prerequisite:</b> Must have knowledge of C or Fortran. And CMSC466, AMSC466, AMSC460, or CMSC460; or (must have knowledge of basic numerical analysis (linear equations, nonlinear equations, integration, interpolation); and permission of instructor).  Cross-listed with AMSC66 1.
<b>Credit only granted for:</b> AMSC661 or CMSC661.
Fourier and wavelet transform methods, numerical methods for elliptic partial differential equations, numerical linear algebra for sparse matrices, Finite element methods, numerical methods for time dependent partial differential equations. Techniques for scientific computation with an introduction to the theory and software for each topic. Course is part of a two course sequence (660 and 661), but can be taken independently.",3,
CMSC838G,Advanced Topics in Programming Languages; Testing and Verification,"<i>This course will focus on establishing software correctness using advanced formal verification, random-testing, and fuzzing techniques. Knowledge of at least one functional programming language (e.g. OCaml, Haskell, or Coq) is strongly recommended.</i>",3,
CMSC818D,Advanced Topics in Computer Systems; Human Factors in Security and Privacy,,3,
CMSC289J,,,,
CMSC773,Computational Linguistics II,"<b>Prerequisite:</b> CMSC723, INST735, or LING723; or permission of instructor.  Cross-listed with LING773, INST736.  Credit only granted  for: CMSC773, LING773, or INST736.
<b>Additional information:</b> CMSC  students may only receive PhD Comp. credit for CMSC723 or CMSC823, not  both.
Natural language processing with a focus on corpus-based statistical techniques. Topics inlcude: stochastic language modeling, smoothing, noisy channel models, probabilistic grammars and parsing; lexical acquisition, similarity-based methods, word sense disambiguation, statistical methods in NLP applications; system evaluation.",3,
CMSC662,,,,
