course_id,title,description,credits,geneds
CMSC711,Computer Networks,"<b>Prerequisite:</b> CMSC412; or students who have taken courses with comparable content may contact the department.
Priciples, design, and performance evaluation of computer networks. Network architectures including the ISO model and local area networks (LANs). Communication protocols and network topology.",3,
CMSC764,Advanced Numerical Optimization,"<b>Prerequisite:</b> MATH410; or permission of instructor.  Jointly offered wit h AMSC607.
<b>Credit only granted for:</b> AMSC607 or CMSC764.
<b>Formerly:</b>   CMSC878O.
Modern numerical methods for solving unconstrained and constrained nonlinear optimization problems in finite dimensions. Design of computational algorithms and the analysis of their properties.",3,
CMSC751,Parallel Algorithms,"<b>Prerequisite:</b> CMSC451; or ENEE641; or students who have taken courses with comparable content may contact the department.  Jointly offered wit h ENEE651.
<b>Credit only granted for:</b> ENEE651, ENEE759K or CMSC751.
A presentation of the theory of parallel computers and parallel processing. Models of parallel processing and the relationships between these models. Techniques for the design and analysis of efficient parallel algorithms including parallel prefix, searching, sorting, graph problems, and algebraic problems. Theoretical limits of parallelism.",3,
CMSC828E,Advanced Topics in Information Processing; Privacy and Ethics in Data Management Systems,,1,
CMSC475,Combinatorics and Graph Theory,"<b>Prerequisite:</b> 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340). And permission of CMNS-Computer Science department; or permission of CMNS-Mathematics department.  Cross-listed with MATH475 .
General enumeration methods, difference equations, generating functions. Elements of graph theory, matrix representations of graphs, applications of graph theory to transport networks, matching theory and graphical algorithms.",3,
CMSC702,Computational Systems Biology,"An introduction to the fundamental concepts in the computational analysis of biological systems with applications to: functional genomics, population genetics, interaction networks, epigenetics. Computational concepts convered: network and graph algorithms, machine learning, large data/network visualization, statistical modeling and inference, probabilistic graphical models, sparse methods in data analysis, numerical optimization. No prior knowledge of biology required.",3,
CMSC798,Master's Non-Thesis Research,,1,
CMSC389N,Special Topics in Computer Science; Introduction to PHP and Javascript,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216; and permission of CMNS-Computer Science department.</i>",3,
CMSC858G,Advanced Topics in Theory of Computing; Quantum Error Correction and Fault-Tolerance,"<i>Cross-listed with PHYS818G. Credit only granted for CMSC858G or PHYS818G. The aim of the course is to develop the theory of how to protect quantum computers from noise through active control, measurement, and feedback of quantum systems. Topics will include quantum coding theory, stabilizer codes, continuous variable codes, fault-tolerance, resource theories, magic states, threshold theorems, topological codes, decoding algorithms, noisy quantum circuits, and related aspects of quantum many-body physics.</i>",3,
CMSC132H,Object-Oriented Programming II,"Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java.",4,
CMSC498Y,Selected Topics in Computer Science; Statistical Inference and Machine Learning Methods for Genomics Data,"<i>Covers statistical inference and machine learning methods for analyzing genomic data. Examples of topics covered will include maximum likelihood (including composite and pseudo-likelihood functions), expectation-maximization, clustering algorithms, hidden markov models, statistical testing, MCMC and variational inference. Our focus will be on how these techniques are utilized to solve biological problems and the practical challenges that arise when analyzing large genomic data sets.</i>",3,
CMSC737,Fundamentals of Software Testing,"Examine fundamental software testing and related program analysis techniques. In particular, the important phases of testing will be reviewed, emphasizing th significance of each phase when testing different types of software. Concepts include: test generation, oracles, prioritization and coverage, regression and mutation testing, and program analysis.",3,
CMSC828L,Advanced Topics in Information Processing; AI and Existential Threats to Civilization,,3,
CMSC754,Computational Geometry,"<b>Prerequisite:</b> CMSC451 and CMSC420; or permission of instructor.
Introduction to algorithms and data structures for computational problems in discrete geometry (for points, lines, and polygons) primarily in two and three dimensions. Topics include triangulations and planar subdivisions, geometric search and intersection, convex hulls, Voronoi diagrams, Delaunay triangulations, line arrangements, visibility, and motion planning.",3,
CMSC828Z,Advanced Topics in Information Processing; Just Machine Learning,"<i>Data-driven systems are increasingly deployed in settings that directly or indirectly people's rights, lives, and well-being. This raises urgent needs to understand how such models lead to more, or less, justice in the world. This course introduces a range of notions around justice, rights, and equity, as well as their computation implementations in machine learning systems. Students are welcome who have backgrounds in machine learning, or in ethics and justice, or both.</i>",3,
CMSC828M,Advanced Topics in Information Processing; Applied Mechanism Design for Social Good,,3,
CMSC498I,Selected Topics in Computer Science; Computer Vision - An Entrepreneurial Perspective,"Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.""",3,
CMSC818Y,Advanced Topics in Computer Systems; Fault Tolerant Distributed Systems,,3,
CMSC828G,Advanced Topics in Information Processing,,3,
CMSC858Q,Advanced Topics in Theory of Computing,"<i>
<b>Prerequisite:</b> CMSC657, CMSC457 or equivalent; or permission of instructor. Advanced topic course on the foundation of end-to-end quantum applications with select topics from quantum algorithms, quantum machine learning, quantum programming languages, and quantum engineering.</i>",1,
CMSC858C,Advanced Topics in Theory of Computing; Randomized Algorithms,,3,
CMSC498Z,Selected Topics in Computer Science; Differentiable Programming,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351 This course is an introduction to differentiable Programming, a new programming paradigm in which a numerical program can be differentiated through automatic differentiation, allowing gradient-based optimization of parameters in the program. It has broad applications in Computer Graphics, Computer Vision, Deep Learning, Quantum Computing, System Control, and many more. The course assumes a good working knowledge of linear algebra and differentiation.</i>",1,
CMSC818O,Advanced Topics in Computer Systems; Computer and Network Security,,3,
CMSC828Y,Advanced Topics in Information Processing; Human-Level Artificial Intelligence,,3,
CMSC703,Network Analysis and Modeling of Biological Systems,"An introduction to  the computational network analysis and modeling of biological systems focusing on transcriptional, protein, signaling and metabolic networks (with primary emphasis on integrating the former within the latter). Computational methods studied for this type of analysis include: network and graph algorithms, network-based machine learning approaches, modeling dynamical systems, numerical optimization (linear, integer and quadratic programming) and a variety of other methods used to solve constraint based problems (primarily in the context of studying metabolic networks). These methods are complementary to those studied in CMSC701 and CMSC702.",3,
CMSC727,Neural Modeling,"<b>Prerequisite:</b> CMSC421; or students who have taken courses with comparable content may contact the department; or permission of instructor.
Fundamental methods of neural modeling. Surveys historical development and recent research results from both the computational and dynamical systems perspective. Logical neurons, perceptrons, linear adaptive networks, attractor neural networks, competitive activation methods, error back-propagation, self-organizing maps, and related topics. Applications in artificial intelligence, cognitive science, and neuroscience.",3,
CMSC634,Empirical Research Methods for Computer Science,"<b>Recommended:</b> An introductory statistics class.
<b>Restriction:</b> Must be in Computer Science (Master's) program; or must be in Computer Science (Doctoral) program; or permission of instructor.
<b>Credit only granted for:</b> CMSC838G (Fall2005) or CMSC634.
A graduate-level introductory course on empirical reseach methods for computer scientists. Experimental techniques for evaluating software systems and processes, human performance using interfaces, programming environments, and software engineering methods. Introduction to constructs and methods of measurements, qualitative and quantitative design, quasi-experimental and non-experimental design, baseline design, and statistical analysis.",3,
CMSC828F,Advanced Topics in Information Processing; Computational Psycholinguistics,"<i>Cross-listed with LING849C and NACS728W. Credit only granted for LING849C, CMSC828F, or NACS728W.</i>",3,
CMSC216H,Introduction to Computer Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission of CMSC - Computer Science department.
Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment.",4,
CMSC389K,Special Topics in Computer Science; Full-stack Web Development with Node.js,"<i>Prerequisites: Minimum grade of C- in CMSC250 and CMSC216.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC838M,Advanced Topics in Programming Languages; Model Checking,,3,
CMSC298P,Special Topics in Computer Science; Prototyping and Fabrication of Cyberphysical Systems,,2,
CMSC198R,Special Topics in Computer Science for Non-Majors; Introduction to Web Programming using HTML/JavaScript,,3,
CMSC641,Principles of Data Science,"An introduction to the data science pipeline, i.e., the end-to-end process of going from unstructured, messy data to knowledge and actionable insights. Provides a broad overview of what data science means and systems and tools commonly used for data science, and illustrates the principles of data science through several case studies.",3,
CMSC498E,Selected Topics in Computer Science; Computer Systems Security,"Theoretical and practical aspects of computer systems security. Topics covered include symmetric/asymmetric encryption, message authentication, digital signatures, access control, as well as network security, web security and cloud security. Students acquire tools necessary for designing secure computer systems and programs and for defending against malicious threats (e.g., viruses, worms, denial of service).",3,
CMSC828N,Advanced Topics in Information Processing; Database System Architecture and Implementation,,3,
CMSC498C,Selected Topics in Computer Science; Randomized Algorithms,"Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",3,
CMSC389O,Special Topics in Computer Science; The Coding Interview,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216; and permission of CMNS-Computer Science department.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC131A,Object-Oriented Programming I,Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java.,4,
CMSC828R,Advanced Topics in Information Processing; Deep Learning for Audio-to-Audio Processing,"<i>Seminar course reviewing current literature and opportunities in enhancing audio-to-audio and photo-to-photo transformations using deep learning architectures, with the goal of making the output perceptually pleasing for consumption by humans. Student must participate in all classes and lead the discussion in one class. Those taking for 3 credits must fulfill these requirements plus a project lasting at least half the semester, where a suitable algorithm is evaluated and written up in the form of a paper.</i>",1,
CMSC828O,Advanced Topics in Information Processing; Computational and Mathematical Analysis for Networks Across Scales,,3,
CMSC643,Machine Learning and Data Mining,"Provides a broad overview of key machine learning and data mining algorithms, and how to apply those to very large datasets. Topics covered include decision trees, linear models for classification and regression, support vector machines, neural networks and deep learning, online learning, recommendation systems, clustering and dimensionality reduction, and systems for large-scale machine learning.",3,
CMSC763,Advanced Linear Numerical Analysis,"<b>Prerequisite:</b> AMSC666 or CMSC666; or permission of instructor.  Also offered as: AMSC763.
<b>Credit only granted for:</b> AMSC600, AMSC763, CMSC760, or CMSC763.
<b>Formerly:</b> AMSC600 and CMSC760.
Advanced topics in numerical linear algebra, such as dense eigenvalue problems, sparse elimination, iterative methods, and other topics.",3,
CMSC828T,Advanced Topics in Information Processing; Sorting in Space and Words and Foundations of Multidimensional and Metric Data Structures,,1,
CMSC740,Advanced Computer Graphics,"<b>Prerequisite:</b> MATH240 and CMSC420; or permission of instructor.
An introduction to the principles of computer graphics. Includes an introduction to graphics displays and systems, introduction to the mathematics of affine and projective transformations, perspective, curve and surface modeling, algorithms for hidden-surface removal, color models, methods for modeling illumination, shading, and reflection.",3,
CMSC828P,Advanced Topics in Information Processing; Algorithms and Machine Learning for Analyzing Mutations in Cancer,,3,
CMSC389L,Special Topics in Computer Science; Practical Cloud Computing with AWS,"Students are provided with a practical and project- oriented introduction to cloud computing with Amazon Web Services (AWS). They will learn how to build applications using a variety of AWS services, including S3, EC2, Lambda, and Beanstalk. Culminating with a final resume-worthy project that will be built, deployed, and demoed to the class.",1,
CMSC498V,Selected Topics in Computer Science; Advanced Topics in Machine Learning,Prerequisites: Minimum grade of C- in CMSC422 or CMSC498M; permission of CMNS-Computer Science department and instructor.,3,
CMSC818K,Advanced Topics in Computer Systems; Coding Theory and Applications,"<i>Cross-listed with ENEE729A. Credit only granted for CMSC818K or ENEE729A. Restricted MS/PhD students in CMSC, AMSC, or ENEE. Introduction to Coding Theory with an emphasis on essential constructions and algorithms.</i>",3,
CMSC652,Complexity Theory,"Prerequisite: CMSC451 or CMSC452; or permission of instructor.  Credit only granted for: CMSC652 or CMSC858G.  Formerly: CMSC858G.This course will define what it means for a problem to be hard (or easy in a variety of ways. The emphasis will be on natural problems. Topics may include NP-completeness, Sparse Sets, Graph Isomoprhism (why it is thought to not be NP-complete), Counting problems, and approximation problems.",3,
CMSC712,Distributed Algorithms and Verification,"Study of algorithms from the distributed and concurrent systems literature. Formal approach to specifying, verifying, and deriving such algorithms. Areas selected from mutual exclusion, resource allocation, quiescence detection, election, Byzantine agreements, routing, network protocols, and fault-tolerence. Formal approaches will handle system specification and verification of safety, liveness, and real-time properties.",3,
CMSC651,Analysis of Algorithms,"Efficiency of algorithms, orders of magnitude, recurrence relations, lower-bound techniques, time and space resources, NP-complete problems, polynomial hierarchies, and approximation algorithms. Sorting, searching, set manipulation, graph theory, matrix multiplication, fast Fourier transform, pattern matching, and integer and polynomial arithmetic.",3,
CMSC132A,Object-Oriented Programming II,"Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java.",4,
CMSC828J,Advanced Topics in Information Processing; Common-sense Reasoning and Natural Language Understanding,,3,
CMSC630,Foundations of Software Verification,"Topics in program verification. Operational semantics of programs. Preconditions and postconditions. Axiomatic proof systems and predicate transformers. Temporal logic and model checking. Process algebra, semantic equivalences and algebraic reasoning.",3,
CMSC858R,Advanced Topics in Theory of Computing; Ramsey Theory and its Applications,,3,
CMSC457,Introduction to Quantum Computing,"<b>Prerequisite:</b> 1 course with a minimum grade of C- from (MATH240, PHYS274); and 1 course with a minimum grade of C- from (CMSC351, PHYS373).
<b>Restriction:</b> Permission of CMNS-Computer Science department.
<b>Additional information:</b> No previous background in quantum mechanics is required.
An introduction to the concept of a quantum computer, including algorithms that outperform classical computation and methods for performing quantum computation reliably in the presence of noise. As this is a multidisciplinary subject, the course will cover basic concepts in theoretical computer science and physics in addition to introducing core quantum computing topics.
<i>Cross-listed with PHYS457. Credit only granted for CMSC457 or PHYS457.</i>",3,
CMSC498A,Selected Topics in Computer Science,,1,
CMSC828A,Advanced Topics in Information Processing,,1,
CMSC858A,Advanced Topics in Theory of Computing,,1,
CMSC898,Pre-Candidacy Research,,1,
CMSC899,Doctoral Dissertation Research,,6,
CMSC642,Big Data Systems,"An overview of data management systems for performing data science on large volumes of data, including relational databases, and NoSQL systems. The topics covered include: different types of data management systems, their pros and cons, how and when to use those systems, and best practices for data modeling.",3,
CMSC818C,Advanced Topics in Computer Systems; Blockchain and Cryptocurrency Technologies,"Decentralized cryptocurrencies and blockchain applications such as Bitcoin and Ethereum have emerged as a highly disruptive technology that enable, for example, monetary transactions and the execution of smart contracts without the control of a central authority. They have sparked the interest of computer scientists, economists and policymakers and promise to revolutionize the way we think about our financial infrastructure. This graduate class will cover the technical background behind decentralized cryptocurrencies protocols and will introduce students to research on the security and privacy of blockchain technologies.",3,
CMSC389R,Special Topics in Computer Science; Introduction to Ethical Hacking,"An introduction to ethical hacking geared towards entering the competitive world of cybersecurity Capture the Flag (CTF) competitions. Applications to a career in digital forensics, penetration testing, cryptology, and secure software development.",1,
CMSC828W,Advanced Topics in Information Processing; Foundations of Deep Learning,"<i>Restricted to Computer Science (Master's/Doctoral) students; or permission of instructor. In this course, we are going to explore empirically-relevant theoretical foundations of deep learning (DL). We will cover topics including DL optimization, DL generaliation, Neural Tangent Kernels, Deep Generative Models, DL Robustness, DL Interpretability, Domain Adaptation and Generalization, Self-Supervised Learning and Deep Reinforcement Learning.</i>",3,
CMSC389F,Special Topics in Computer Science; Reinforcement Learning,"Prerequisites: CMSC216 and CMSC250 with a grade of C- or better. Provides a theory-centric introduction to Reinforcement Learning. Students will learn the key concepts and algorithms driving Reinforcement Learning, including Markov Decision Processes, Monte Carlo Learning, and Policy Gradient methods.",1,
CMSC389E,Special Topics in Computer Science; Digital Logic Design through Minecraft,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216; and permission of CMNS-Computer Science department.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC389C,Special Topics in Computer Science; Bitcoin and Other Cryptocurrencies,"This course provides a comprehensive, practical introduction to the the technology behind cryptocurrency and the economy surrounding it. This course will have a heavy emphasis on Bitcoin, but will touch on other types of cryptocurrency as well. This course is primarily intended to focus on the technological aspect of cryptocurrency, but we will also spend time discussing the economics of cryptocurrency.",1,
CMSC389A,Special Topics in Computer Science; Law and Computer Science,"<i>Prerequisites: Minimum grade of C- in CMSC250 and CMSC216.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC389M,Special Topics in Computer Science; SLAM: Why Robots Don't Crash,Students will be provided with a practical and lightly theoretical understanding of the most popular algorithms that solve the Simultaneous Localization and Mapping (SLAM) problem to enable self driving car technology. An emphasis will be placed on the probabilistic methods that underpin the SLAM problem.,1,
CMSC644,Algorithms for Data Science,"Provides an in-depth understanding of some of the key data structures and algorithms essential for advanced data science. Topics include random sampling, graph algorithms, network science, data streams, and optimization.",3,
CMSC498G,Selected Topics in Computer Science; Principles of Software Verification,"Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. Introduces techniques for rigorously establishing that software behaves correctly. Topics to be covered include: preconditions and postconditions; loop invariants; contract-based specifications; techniques for proving programs correct; state-machine based system design; temporal logic; and model checking.",3,
CMSC498B,Selected Topics in Computer Science; Algorithmic and Mathematical Foundations of Data Science,,3,
CMSC498D,Selected Topics in Computer Science; Security Engineering,,3,
CMSC657,Introduction to Quantum Information Processing,"<b>Prerequisite:</b> Familiarity with complex numbers and basic concepts in linear algebra (e.g., eigenvalues, eigenvectors, Hermitian and unitary matrices) is required.
<b>Credit only granted for:</b> CMSC657 or CMSC858K.
<b>Formerly:</b> CMSC858K.
<b>Additional information:</b> Previous background in quantum mechanics or theory of computation is not required.
An introduction to the field of quantum information processing. Students will be prepared to pursue further study in quantum computing, quantum information theory, and related areas.",3,
CMSC828D,Advanced Topics in Information Processing; Introduction to Data Visualization,,3,
CMSC858B,"Advanced Topics in Theory of Computing; Blockchains, Cryptocurrencies, and Smart Contracts",,3,
CMSC858E,Advanced Topics in Theory of Computing; Approximation Algorithms,,3,
CMSC498K,Selected Topics in Computer Science; Big Data Systems,"An overview of data management systems for performing data science on large volumes of data, including relational databases, and NoSQL systems. The topics covered include: different types of data management systems, their pros and cons, how and when to use those systems, and  best practices for data modeling.",3,
CMSC828I,Advanced Topics in Information Processing; Multilingual Natural Language Processing,,3,
CMSC470,Introduction to Natural Language Processing,"<b>Prerequisite:</b> Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH461).
<b>Restriction:</b> Permission of CMNS-Computer Science department.
Introduction to fundamental techniques for automatically processing and generating natural language with computers. Machine learning techniques, models, and algorithms that enable computers to deal with the ambiguity and implicit structure of natural language. Application of these techniques in a series of assignments designed to address a core application such as question answering or machine translation.",3,
CMSC498X,Selected Topics in Computer Science; Introduction to Parallel Computing,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; or permission of instructor. Introduction to parallel computing for computer science majors. Topics include programming for shared memory and distributed memory parallel architectures, and fundamental issues in design, development and analysis of parallel programs.</i>",3,
CMSC102,,,,
CMSC198I,,,,
CMSC818B,Advanced Topics in Computer Systems; Decision-Making for Robotics,"<i>Restricted to Computer Science students (CMSC) or permissin of instructor. Motion planning focuses on the problem of how to go from point A to point B. In this course, we will examine higher-level algorithms that make decisions as to what points A and B should be depending on the task at hand. Topics that will be covered include (but are not limited to): Markov Decision Processes; Partially Observable Markov Decision Processes; Monte-Carlo Tree Search; Deep reinforcement learning; Graph Neural Networks; Multi-Robot Task Assignment; Vehicle Routing Problems; Information-Theoretic Path Planning (mutual information, entropy, submodularity).</i>",3,
CMSC828B,Advanced Topics in Information Processing; Neural Machine Translation,,3,
CMSC828U,Advanced Topics in Information Processing; Algorithms in Machine Learning: Guarantees and Analyses,,3,
CMSC828V,Advanced Topics in Information Processing; Numerical Methods for Data Science and Machine Learning,,3,
CMSC838B,Advanced Topics in Programming Languages; Differentiable Programming,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351 This course is an introduction to differentiable Programming, a new programming paradigm in which a numerical program can be differentiated through automatic differentiation, allowing gradient-based optimization of parameters in the program. It has broad applications in Computer Graphics, Computer Vision, Deep Learning, Quantum Computing, System Control, and many more. The course assumes a good working knowledge of linear algebra and differentiation.</i>",1,
CMSC858T,Advanced Topics in Theory of Computing; Introduction to Secure Distributed Computation,"<i>This course is an introduction to secure distributed computation (broadly construed), primarily intended for graduate students interested in research in this or related areas. Topics will include secure computation, oblivious RAM, differential privacy, SNARKs, and consensus/blockchain protocols. The course will emphasize definitions, foundations, and formal proofs of security, though no prior background in cryptography will be assumed.</i>",3,
CMSC131H,,,,
CMSC297,,,,
CMSC498L,Selected Topics in Computer Science; Introduction to Deep Learning,"<i>
<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH461); and permission of CMNS-Computer Science department. Or must be in (Computer Science (Doctoral), ComputerScience (Master's) program.</i>",3,
CMSC734,Information  Visualization,"<b>Prerequisite:</b> CMSC434; or students who have taken courses with comparable content may contact the department; or permission of instructor.
Information visualization defined in relation to graphics, scientific visualization, databases, data mining, and human-computer interaction. Visualizations for dimensional, temporal, hierarchical and network data. Examines design alternatives, algorithms and data structures, coordinated views, and human factors evaluations of efficacy.",3,
CMSC818J,,,,
CMSC828X,"Advanced Topics in Information Processing; Physically-based modeling, Simulation and Animation",,3,
CMSC838F,,,,
CMSC498N,"Selected Topics in Computer Science; Digital Media, Performance and Interactivity","<i>Shared with ARTT489M 0101
<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; permission of the instructor Studio-based course focusing on the theory, practice and creation of physically interactive immersive media experiences. Course explores the integration of technology and artistic performance, including methods and processes for computationally engaged audio/visual performances that enable artists to interact with responsive elements of the environment through smart textiles, visual body-tracking and gestural sensors, audio sampling and analysis, and other interactive modalities that drive media architectures for performance venues such visual projection mapping, mechatronic devices, and algorithmic music.</i>",3,
CMSC818F,Advanced Topics in Computer Systems; Cryptography and Hostile Governments,"<i>The course is a seminar structured around a course project and student led paper presentations on student selected topics including private information retrieval, blind signatures, cryptocurrency/blockchains, zero-knowledge proofs and zkSNARKs, mixnets, and multi-party computation. This course is intended for computer science graduate students and advanced undergraduates with an interest in the area. Undergrads should have taken a previous security or cryptography class.</i>",3,
CMSC818P,,,,
CMSC878B,,,,
CMSC760,,,,
CMSC858Z,,,,
CMSC287,,,,
CMSC818L,,,,
CMSC858D,"Advanced Topics in Theory of Computing; Algorithms, Data Structures and Inference for High-throughput Genomics","<i>
<b>Restriction:</b> Must be a graduate student in CMSC or BISI program.</i>",3,
CMSC498O,Selected Topics in Computer Science; Introduction to Data Visualization,"<i>
<b>Prerequisite:</b> Minimum gra de of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in Computer Science (Doctoral), Computer Scienc e (Master's) program.</i>",3,
CMSC828Q,Advanced Topics in Information Processing; Nature-Inspired Computing,,1,
CMSC498T,Selected Topics in Computer Science; Applied Mechanism Design for Social Good,"<i>
<b>Prerequisite:</b> CMSC351.
<b>Recommended:</b> MATH240, CMSC320, or CMSC422. How do we allocate food to food banks, children to schools, organs to patients, residents to hospitals, security forces to patrol routes, and credit to multiple authors of an open source project-all in the face of competing incentives affecting selfish participants? Can we design mechanisms for these problems that perform well in practice, are computationally tractable, and whose workings and results are understandable by humans? To answer these questions, we devise models and solutions at the intersection of artificial intelligence, economics, and theoretical computer science.</i>",3,
CMSC818I,,,,
CMSC878O,,,,
CMSC838X,Advanced Topics in Programming Languages; Personal Health Informatics & Visualization,<i>Jointly offered with INST682. Credit only granted for INST682 or CMSC838 X.</i>,3,
CMSC389Y,Special Topics in Computer Science; Practical Methods For Self Driving Cars,,1,
CMSC389U,Special Topics in Computer Science; Introduction to Developing AR Applications with Hololens,"An introduction to developing Augmented Reality applications for devices like the Microsoft Hololens using the Microsoft Mixed Reality Toolkit and the Unity 3D engine. Topics will include AR design thinking, the Unity scripting API, deploying applications to Hololens, and the technology behind AR devices. Students will explore the capabilities of AR devices through bi-weekly projects designed to give them usable, valuable skills as quickly as possible. Basic programming and Unity experience are strongly recommended.",1,
CMSC389I,Special Topics in Computer Science; Disrupting Healthcare with AI,"Prerequisites: CMSC216 and CMSC250 with a grade of C- or better; and permission of the Computer Science department. This course provides a comprehensive, practical introduction to the intersection of machine learning and different challenges in healthcare. Students will apply basic predictive modeling techniques to fields such as early detection of disease, telemedicine, and mental health. Prior knowledge of biology is not required but a basic understanding of Python and/or machine learning techniques is recommended.",1,
CMSC389Q,Special Topics in Computer Science; iOS App Development,"Prerequisites: CMSC216 and CMSC250 with a grade of C- or better; and permission of the Computer Science department. This course explores mobile development on the iOS platform. Topics covered include using Xcode, Swift 4, developing modern user interfaces, networking, and popular libraries such as ARKit and CoreML. Access to a computer running the latest Mac OS X software is not required but is recommended.",1,
CMSC389W,Special Topics in Computer Science; Visualization through Mathematica,"<i>Jointly offered with MATH299M. Credit only granted for CMSC389W or MATH299M. Prerequisites: CMSC216 and CMSC250 with a grade of C- or better; and permission of the Computer Science department.</i>
<i>A student-led course through Student-Initiated Courses (STICs) @ UMD: http://stics.umd.edu/   Please click here for more information.</i>",1,
CMSC818N,Advanced Topics in Computer Systems; Robotics,,3,
CMSC858M,Advanced Topics in Theory of Computing; Algorithmic Lower Bounds: Fun with Hardness Proofs,,3,
